69;102
57;97
80;114
90;101
26;97
7;108
66;103
81;91
84;92
32;106
5;93
19;120
60;112
28;114
9;103
37;113
65;109
24;94
52;107
8;88
62;97
55;109
10;104
70;113
27;84
86;81
4;80
77;101
31;88
12;111
17;92
79;101
38;106
74;90
96;114
49;115
54;116
1;98
53;105
68;118
21;114
16;123
33;97
44;82
2;109
25;114
41;97
92;96
97;95
99;94
75;99
3;100
64;100
76;104
67;90
42;105
22;94
11;101
58;100
91;95
63;99
78;87
94;103
30;87
72;98
85;94
56;112
61;107
47;103
95;102
87;98
23;93
39;83
40;85
35;87
43;109
13;120
29;89
46;104
45;97
59;93
82;111
89;99
50;97
73;102
0;93
98;104
15;96
71;91
88;100
18;103
14;96
6;95
34;81
48;120
93;91
83;98
36;94
20;88
51;95
