41;95
78;91
36;104
86;102
26;91
87;103
4;99
23;83
51;84
44;118
13;128
47;89
45;95
19;103
14;95
54;109
34;107
85;121
28;112
56;107
10;107
39;84
99;83
12;121
61;102
29;102
83;89
69;86
76;95
66;96
71;100
35;119
37;94
21;104
43;99
88;101
20;96
38;91
8;113
90;83
7;97
6;107
97;84
75;97
96;107
62;86
42;113
48;96
31;102
65;112
3;110
80;102
73;102
58;101
72;104
27;103
95;102
15;104
81;95
94;102
60;94
70;92
17;101
11;104
59;109
64;108
2;103
57;122
22;112
53;95
67;91
91;106
18;91
46;106
25;101
33;100
24;107
50;83
89;111
30;90
93;86
0;113
9;106
40;92
84;112
63;105
1;103
82;88
98;109
74;80
55;101
79;92
52;78
77;94
68;108
92;111
16;94
5;73
32;102
49;100
